"Run 2: Time (h)","Run 2: Illumination (lux)","Run 2: UVB Intensity (mW/m²)","Run 2: UVA Intensity (mW/m²)"
11:02:14,56376.0333252,281.707763672,6270.47729492
11:02:43,56214.7998047,282.781677246,6291.81976318
11:03:14,56288.0877686,281.832275391,6256.95037842
11:03:44,56906.6381836,284.462585449,6307.4508667
11:04:13,58337.2192383,289.614257812,6425.88653564
11:04:44,61919.5349121,303.77746582,6743.61877441
11:05:14,67146.4324951,320.508728027,7186.39984131
11:05:43,62684.6612549,310.034179688,6887.00408936
11:06:14,70866.529541,339.621276855,7602.72827148
11:06:44,74797.6959229,352.990722656,7947.81494141
11:07:13,75260.8758545,354.142456055,7946.61254883
11:07:44,76263.4552002,359.776611328,8113.44451904
11:08:14,67638.9276123,332.508544922,7357.1395874
11:08:43,70426.8017578,343.979187012,7608.74023438
11:09:14,73976.8707275,355.200805664,7884.9899292
11:09:44,77667.6525879,369.09942627,8212.34130859
11:10:13,71640.4504395,350.982971191,7736.19384766
11:10:44,71077.598877,347.232055664,7649.32098389
11:11:14,70673.0493164,346.329345703,7608.43963623
11:11:43,69899.128418,344.383850098,7543.51043701
11:12:14,67480.6256104,336.13494873,7308.14208984
11:12:44,71822.2045898,349.068603516,7676.97601318
11:13:13,70520.6103516,346.60949707,7543.20983887
11:13:44,75867.7001953,371.387329102,8114.64691162
11:14:14,76914.2523193,372.741394043,8151.92108154
11:14:43,69031.3989258,348.975219727,7397.72033691
11:15:14,71669.765625,354.796142578,7674.87182617
11:15:44,66727.2253418,337.597961426,7236.59973145
11:16:13,72220.8911133,361.09954834,7741.00341797
11:16:44,73249.854126,366.967163086,7826.07269287
11:17:14,69776.0046387,350.625,7509.54284668
11:17:43,72988.9489746,356.788330078,7798.71826172
11:18:14,68782.2198486,348.928527832,7417.25921631
11:18:44,71394.2028809,359.387512207,7667.6574707
11:19:13,69562.0037842,352.710571289,7539.90325928
11:19:44,74759.5861816,373.830871582,7975.4699707
11:20:14,78746.451416,388.850097656,8345.20568848
11:20:43,77582.6385498,387.169189453,8270.65734863
11:21:14,71634.5874023,364.02557373,7702.52685547
11:21:44,75249.1497803,377.239379883,7994.40765381
11:22:13,76761.8133545,389.581604004,8249.91607666
11:22:44,73112.0727539,355.543212891,7785.49194336
11:23:14,67773.7774658,355.09185791,7453.03039551
11:23:43,72824.7839355,371.309509277,7806.53381348
11:24:14,79356.2072754,395.791625977,8369.25354004
11:24:44,73657.3352051,374.515686035,7884.68933105
11:25:13,78969.2468262,397.394714355,8371.95892334
11:25:44,70743.4057617,365.395202637,7642.40722656
11:26:14,81176.6802979,404.38293457,8512.93945312
11:26:43,81150.2966309,408.336181641,8592.89855957
11:27:14,86975.223999,432.320251465,9128.26385498
11:27:44,90232.1411133,443.681945801,9346.19750977
11:28:13,88681.3677979,442.281188965,9296.59881592
11:28:44,92565.6298828,455.261535645,9595.99456787
11:29:14,92249.0258789,453.175964355,9545.79467773
11:29:43,93166.5911865,460.366516113,9701.5045166
11:30:14,93187.1118164,462.296447754,9696.39434814
11:30:44,89311.6442871,449.767456055,9406.91833496
11:31:13,91167.2955322,455.24597168,9518.44024658
11:31:44,91381.2963867,459.868469238,9555.11322021
11:32:14,93178.3172607,466.374206543,9696.99554443
11:32:43,92410.2593994,466.934509277,9684.97161865
11:33:14,92383.8757324,467.183532715,9667.53692627
11:33:44,89777.7557373,460.288696289,9472.74932861
11:34:13,92882.2338867,473.11340332,9745.3918457
11:34:44,93744.1003418,477.035522461,9828.95812988
11:35:14,94098.8140869,479.276733398,9864.72930908
11:35:43,94682.1862793,484.988708496,9913.72680664
11:36:14,94101.7456055,481.798095703,9856.01196289
11:36:44,95725.8068848,489.284362793,9987.07275391
11:37:13,96001.3696289,491.10534668,9998.4954834
11:37:44,96227.0965576,491.914672852,10041.7816162
11:38:14,96326.7681885,493.766784668,10058.9157104
11:38:43,95802.0263672,492.210388184,10014.7277832
11:39:14,95781.5057373,495.105285645,10039.0762329
11:39:44,95075.0097656,492.646179199,9977.15301514
11:40:13,94925.5023193,493.54888916,9978.35540771
11:40:44,94597.1722412,493.113098145,9926.05133057
11:41:14,95831.3415527,495.914611816,10015.6295776
11:41:43,98027.0489502,507.291870117,10217.9321289
11:42:14,97962.555542,509.066162109,10219.1345215
11:42:44,96927.7294922,500.817260742,10051.1001587
11:43:13,98589.9005127,510.731506348,10228.7536621
11:43:44,97783.7329102,509.221801758,10178.8543701
11:44:14,98501.9549561,501.377563477,10181.8603516
11:44:43,98123.7890625,511.354064941,10204.4052124
11:45:14,98106.1999512,510.887145996,10182.4615479
11:45:44,98528.338623,516.630249023,10237.7716064
11:46:13,100691.799316,525.39276123,10403.4011841
11:46:44,101527.282104,530.731201172,10514.6224976
11:47:14,96508.5223389,511.431884766,10082.3623657
11:47:43,101330.870361,529.999694824,10482.1578979
11:48:14,101377.774658,532.178649902,10484.5626831
11:48:44,101433.473511,534.201965332,10513.1195068
11:49:13,102010.982666,537.626037598,10580.1528931
11:49:44,101794.050293,536.941223145,10545.5841064
11:50:14,102142.901001,540.022888184,10592.1768188
11:50:43,101421.747437,550.995483398,10569.0307617
11:51:14,101140.321655,538.544311523,10533.2595825
11:51:44,100902.868652,538.248596191,10504.7027588
11:52:13,98528.338623,111.126708984,1724.53155518
11:52:44,99900.2893066,535.057983398,10374.2431641
11:53:14,100876.484985,541.999511719,10474.9435425
11:53:43,101682.652588,546.077270508,10567.527771
11:54:14,102342.244263,550.544128418,10613.5192871
11:54:44,102711.615601,550.83984375,10622.8378296
11:55:13,102828.876343,557.8125,10642.6773071
11:55:44,102418.463745,478.311767578,10514.0213013
11:56:14,102550.38208,553.594665527,10667.326355
11:56:43,102755.588379,554.995422363,10678.7490845
11:57:14,102972.520752,554.746398926,10685.9634399
11:57:44,103488.468018,565.827941895,10766.8243408
11:58:13,103500.194092,562.403869629,10754.1992188
11:58:44,99196.7248535,546.186218262,10401.2969971
11:59:14,104362.060547,567.446594238,10806.2026978
11:59:43,104030.79895,567.431030273,10794.178772
12:00:14,103060.466309,563.073120117,10709.7106934
12:00:44,103409.317017,565.314331055,10715.4220581
12:01:13,103095.644531,565.999145508,10708.5083008
12:01:44,102676.437378,558.824157715,10661.0137939
12:02:14,102547.450562,565.469970703,10662.8173828
12:02:43,102471.231079,567.088623047,10652.2964478
12:03:14,102309.997559,565.718994141,10624.6414185
12:03:43,102008.051147,565.983581543,10617.7276611
12:04:13,101536.07666,569.31427002,10588.269043
12:04:44,102465.368042,569.345397949,10630.0521851
12:05:14,101826.296997,568.069152832,10550.994873
12:05:43,99486.9451904,547.260131836,10216.4291382
12:06:14,99017.9022217,553.656921387,10262.1200562
12:06:44,99322.7801514,555.27557373,10274.4445801
12:07:13,92187.4639893,523.260498047,9650.10223389
12:07:44,98164.8303223,548.81652832,10140.6784058
12:08:14,100885.279541,565.361022949,10434.362793
12:08:43,99762.5079346,561.31439209,10341.1773682
12:09:14,101817.502441,569.967956543,10491.7770386
12:09:44,100354.674683,563.898010254,10347.7905273
12:10:13,100298.97583,567.415466309,10370.03479
12:10:44,97505.2386475,551.960449219,10086.8713379
12:11:14,102831.807861,579.27520752,10578.3493042
12:11:43,103426.906128,579.399719238,10610.8139038
12:12:14,102588.491821,577.485351562,10519.4320679
12:12:44,102098.928223,581.781005859,10463.520813
12:13:13,100559.880981,562.590637207,10228.7536621
12:13:44,104640.55481,588.520202637,10618.6294556
12:14:14,103388.796387,581.065063477,10513.420105
12:14:43,103423.974609,582.901611328,10547.9888916
12:15:14,103948.716431,604.473266602,10619.53125
12:15:44,105162.365112,593.329467773,10699.7909546
12:16:13,104602.445068,593.204956055,10686.5646362
12:16:44,106660.371094,604.877929688,10848.8876343
12:17:14,106381.876831,604.62890625,10828.4469604
12:17:43,106337.904053,607.523803711,10836.2625122
12:18:14,105332.393188,603.66394043,10749.3896484
12:18:44,105540.531006,605.687255859,10762.3153687
12:19:13,106364.28772,608.768920898,10813.4170532
12:19:44,104951.295776,602.356567383,10673.3383179
12:20:14,105563.983154,604.846801758,10680.5526733
12:20:43,103306.713867,603.539428711,10576.5457153
12:21:14,104159.785767,600.924682617,10599.9923706
12:21:44,104054.251099,602.527770996,10584.6618652
12:22:13,104168.580322,602.543334961,10578.3493042
12:22:44,105179.954224,607.819519043,10671.8353271
12:23:14,106724.864502,617.189025879,10811.6134644
12:23:43,106686.754761,615.601501465,10756.3034058
12:24:14,106757.111206,620.706481934,10800.7919312
12:24:44,106704.343872,616.519775391,10774.9404907
12:25:13,106455.164795,617.189025879,10738.8687134
12:25:44,106217.711792,616.09954834,10731.6543579
12:26:14,106235.300903,615.492553711,10728.6483765
12:26:43,102881.643677,598.870239258,10403.4011841
12:27:14,102333.449707,596.364440918,10338.772583
12:27:44,99401.9311523,565.220947266,9769.74029541
12:28:13,96848.5784912,572.411499023,9857.21435547
12:28:44,96643.3721924,569.485473633,9837.07427979
12:29:14,95957.3968506,586.356811523,9755.31158447
12:29:43,97053.78479,573.796691895,9838.57727051
12:30:14,96570.0842285,570.886230469,9772.44567871
12:30:44,97502.3071289,574.932861328,9841.58325195
12:31:13,94884.4610596,561.423339844,9623.34899902
12:31:44,98710.0927734,579.010620117,9925.75073242
12:32:14,97537.4853516,577.158508301,9898.99749756
12:32:43,99067.7380371,585.983276367,10000.5996704
12:33:14,102307.06604,598.885803223,10243.4829712
12:33:44,104951.295776,615.897216797,10476.1459351
12:34:13,105534.667969,616.255187988,10455.7052612
12:34:44,109193.203125,637.764587402,10831.4529419
12:35:14,106417.055054,625.251159668,10618.3288574
12:35:43,107249.606323,625.391235352,10649.2904663
12:36:14,99944.262085,595.601806641,10092.8833008
12:36:44,97470.0604248,582.543640137,9855.71136475
12:37:13,96338.4942627,575.29083252,9709.6206665
12:37:44,95110.1879883,568.862915039,9633.86993408
12:38:14,95884.1088867,572.582702637,9676.25427246
12:38:43,100999.608765,597.360534668,10093.4844971
12:39:14,102465.368042,609.375915527,10255.2062988
12:39:44,101697.310181,604.302062988,10220.6375122
12:40:13,103136.685791,610.480957031,10293.081665
12:40:44,106088.724976,626.589660645,10580.4534912
12:41:14,104341.539917,618.511962891,10440.3747559
12:41:43,106877.303467,635.679016113,10673.9395142
12:42:14,106924.207764,636.924133301,10648.9898682
12:42:44,107542.758179,637.110900879,10683.8592529
12:43:13,107211.496582,635.803527832,10643.5791016
12:43:44,106373.082275,627.227783203,10524.8428345
12:44:14,105347.050781,510.357971191,9053.11431885
12:44:43,105722.285156,628.908691406,10466.8273926
12:45:14,105666.586304,631.834716797,10498.3901978
12:45:44,105610.887451,630.49621582,10443.6813354
12:46:13,104496.9104,624.255065918,10293.9834595
12:46:44,104637.623291,624.09942627,10295.1858521
12:47:14,103901.812134,619.461364746,10253.40271
12:47:43,102521.066895,602.854614258,10071.5408325
12:48:14,103224.631348,616.006164551,10185.1669312
12:48:44,102318.792114,614.745483398,10101.3000488
12:49:13,102134.106445,611.399230957,10079.9575806
12:49:44,5739.91333008,407.729187012,7283.19244385
12:50:14,100375.195312,588.675842285,9835.87188721
12:50:43,100079.111938,599.523925781,9882.76519775
12:51:14,99120.5053711,596.255493164,9790.48156738
12:51:44,99000.3131104,593.064880371,9765.83251953
12:52:13,98950.4772949,596.753540039,9755.91278076
12:52:44,98463.8452148,593.002624512,9696.39434814
12:53:14,93418.7017822,570.030212402,9308.6227417
12:53:43,95221.5856934,574.606018066,9374.45373535
12:54:14,94817.0361328,570.574951172,9321.24786377
12:54:44,90454.9365234,544.100646973,8931.37207031
12:55:13,83070.4412842,507.540893555,8247.21069336
12:55:44,85981.439209,521.283874512,8508.7310791
12:56:14,82079.5880127,500.723876953,8172.36175537
12:56:43,79977.689209,490.52947998,7986.59210205
12:57:14,82064.9304199,502.918395996,8121.2600708
12:57:44,68069.8608398,424.600524902,6886.40289307
12:58:13,78362.4224854,476.350708008,7714.85137939
12:58:44,82472.411499,501.175231934,8106.83135986
12:59:14,83073.3728027,504.225769043,8120.35827637
12:59:43,76626.963501,470.70098877,7625.87432861
13:00:14,82525.178833,491.61895752,8057.23266602
13:00:44,86485.6604004,517.252807617,8396.30737305
13:01:13,85374.6148682,517.330627441,8341.89910889
13:01:44,85515.3277588,510.949401855,8298.91357422
13:02:14,84158.034668,503.136291504,8168.75457764
13:02:43,83706.5808105,500.303649902,8101.72119141
13:03:14,81900.7653809,490.436096191,7919.85931396
13:03:44,81452.243042,484.55291748,7816.1529541
13:04:13,80379.307251,476.895446777,7710.04180908
13:04:44,79564.3450928,473.315734863,7633.38928223
13:05:13,78813.8763428,467.276916504,7545.01342773
13:05:43,78283.2714844,462.950134277,7491.20635986
13:06:14,77427.2680664,458.872375488,7411.54785156
13:06:44,76524.3603516,455.635070801,7319.56481934
13:07:13,75765.0970459,435.868835449,7205.03692627
13:07:44,75076.1901855,443.822021484,7156.03942871
13:08:14,74056.0217285,437.440795898,7060.14862061
13:08:43,73299.6899414,433.394165039,6990.40985107
13:09:14,72364.5355225,429.472045898,6906.84356689
13:09:44,71558.3679199,423.448791504,6811.85455322
13:10:13,70148.3074951,412.476196289,6634.80224609
13:10:44,68670.8221436,404.740905762,6507.64923096
13:11:14,68963.973999,403.277893066,6479.09240723
13:11:43,68069.8608398,397.067871094,6373.28186035
13:12:14,66999.8565674,387.340393066,6259.65576172
13:12:43,66123.3325195,385.145874023,6176.39007568
13:13:13,65226.2878418,377.581787109,6059.45739746
13:13:44,64176.8041992,371.247253418,5958.75701904
13:14:14,63221.1291504,364.08782959,5861.06262207
13:14:43,62327.0159912,359.963378906,5768.17779541
13:15:14,61532.5744629,352.119140625,5684.31091309
13:15:44,60389.2822266,347.590026855,5573.08959961
13:16:13,59213.7432861,340.679626465,5465.47546387
13:16:44,57997.1630859,332.103881836,5327.80151367
13:17:14,57498.8049316,326.921081543,5248.14300537
13:17:43,56513.8146973,318.75,5120.98999023
13:18:14,55499.5092773,313.022460938,5023.29559326
13:18:44,54646.4373779,307.497253418,4937.62512207
13:19:13,53635.0634766,298.952636719,4849.54986572
13:19:44,52746.8133545,297.520751953,4768.98956299
13:20:14,51905.4675293,290.050048828,4671.8963623
13:20:43,50885.2990723,284.571533203,4571.19598389
13:21:14,50029.2956543,280.073547363,4485.82611084
13:21:44,48997.401123,277.054138184,4396.54846191
13:22:13,48115.0140381,267.622375488,4299.15466309
13:22:44,47003.9685059,260.696411133,4184.62677002
13:23:14,46118.6499023,255.778198242,4090.23895264
13:23:43,45136.5911865,246.48651123,3982.02362061
13:24:14,44145.737915,241.864013672,3881.02264404
13:24:44,43187.1313477,221.210632324,3754.77142334
13:25:13,42380.9637451,236.743469238,3700.66375732
13:25:44,41331.4801025,221.973266602,3589.1418457
13:26:14,40402.1887207,220.339050293,3512.1887207
13:26:43,39390.8148193,213.880004883,3408.78295898
13:27:14,38555.3320312,207.763366699,3319.20471191
13:27:44,37538.0950928,201.148681641,3218.5043335
13:28:13,36626.3928223,193.78692627,3124.41711426
13:28:44,35676.5808105,189.102172852,3031.83288574
13:29:14,34615.3710938,182.020568848,2923.91815186
13:29:43,33656.7645264,180.246276855,2849.06921387
13:30:14,32701.0894775,171.81060791,2751.67541504
13:30:44,31751.2774658,166.176452637,2665.7043457
13:31:13,30824.9176025,161.024780273,2574.92370605
13:31:44,29930.8044434,164.448852539,2502.47955322
13:32:14,28875.4577637,145.600891113,2386.74926758
13:32:43,27952.0294189,142.89276123,2293.56384277
13:33:14,27002.2174072,136.994018555,2210.29815674
13:33:44,26081.7205811,132.48046875,2127.63366699
13:34:13,25216.9226074,126.457214355,2041.9631958
13:34:44,24299.3572998,121.5234375,1953.28674316
13:35:14,23381.7919922,115.764770508,1874.22943115
13:35:43,22396.8017578,111.095581055,1792.76733398
13:36:14,21473.3734131,105.336914062,1700.18310547
13:36:44,20494.2462158,98.8623046875,1613.61083984
13:37:13,19564.954834,98.2397460938,1545.67565918
13:37:44,18700.1568604,91.0803222656,1461.80877686
13:38:14,17741.550293,84.2788696289,1374.3347168
13:38:43,16730.1763916,79.2361450195,1296.17919922
13:39:14,15756.9122314,70.2090454102,1205.69915771
13:39:44,15000.5804443,70.0378417969,1146.48132324
13:40:13,14173.8922119,64.948425293,1061.1114502
13:40:44,13402.902832,61.1352539062,995.280456543
13:41:14,12614.3243408,57.477722168,928.247070312
13:41:43,11752.4578857,51.7813110352,856.704711914
13:42:14,10960.947876,47.7502441406,792.677307129
13:42:44,10069.7662354,43.3456420898,724.742126465
13:43:13,9266.53015137,39.9682617188,662.518310547
13:43:44,8439.84191895,35.6103515625,599.993896484
13:44:14,7689.37316895,31.8127441406,539.273071289
13:44:43,6979.94567871,27.7038574219,474.043273926
13:45:14,6220.68237305,24.404296875,415.126037598
13:45:44,5496.59729004,21.416015625,361.018371582
13:46:13,4757.85461426,19.0502929688,308.413696289
13:46:44,4022.04345703,17.5094604492,259.716796875
13:47:14,3406.42456055,15.9997558594,213.424682617
13:47:43,2808.39477539,15.0503540039,169.83795166
13:48:14,2230.88562012,14.5056152344,130.760192871
13:48:44,1653.37646484,14.1009521484,92.8848266602
13:49:13,1140.36071777,13.3694458008,52.604675293
13:49:44,738.742675781,13.6340332031,42.6849365234
13:50:14,381.097412109,13.4628295898,35.1699829102
13:50:43,131.918334961,13.3694458008,33.967590332
13:51:14,79.1510009766,13.3071899414,33.967590332
13:51:44,85.0140380859,13.2916259766,33.967590332
13:52:13,82.0825195312,13.2916259766,33.967590332
13:52:44,87.9455566406,13.2760620117,33.967590332
13:53:14,85.0140380859,13.2138061523,33.967590332
13:53:43,82.0825195312,13.244934082,33.967590332
13:54:14,82.0825195312,13.244934082,33.967590332
13:54:44,87.9455566406,13.244934082,33.6669921875
13:55:13,128.986816406,13.2293701172,33.967590332
13:55:44,363.508300781,13.3071899414,34.2681884766
13:56:14,738.742675781,16.9180297852,63.4262084961
13:56:43,1157.9498291,11.9375610352,33.967590332
13:57:14,1653.37646484,13.8363647461,88.9770507812
13:57:44,2210.36499023,14.1943359375,122.343444824
13:58:13,2767.35351562,14.7235107422,158.715820312
13:58:44,3385.90393066,15.5795288086,199.597167969
13:59:14,4010.31738281,19.3460083008,253.103637695
13:59:43,4681.63513184,17.8985595703,287.371826172
14:00:14,5449.69299316,20.9024047852,339.67590332
14:00:44,6126.8737793,23.0346679688,388.673400879
14:01:13,6889.06860352,25.9295654297,439.775085449
14:01:44,7616.08520508,29.2913818359,498.992919922
